SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 03-Jul-2020,32.5,33.45,33.45,32.1,32.4,32.25,32.51,59235,19.26,623,36110,60.96
21STCENMGM, EQ, 03-Jul-2020,11.05,10.85,11.25,10.85,11.25,11.25,10.99,3211,0.35,18,2756,85.83
3IINFOTECH, EQ, 03-Jul-2020,2.7,2.75,2.8,2.6,2.6,2.6,2.64,9016486,238.41,3258,7121207,78.98
3MINDIA, EQ, 03-Jul-2020,18647.1,18828,18990,18350,18400,18440.4,18570.11,3354,622.84,1441,1821,54.29
509GS2022, GS, 03-Jul-2020,99.2,99,99,99,99,99,99,1,0,1,1,100
5PAISA, EQ, 03-Jul-2020,230.8,231.85,237,226.95,229,233,232.07,10333,23.98,536,6375,61.7
63MOONS, BE, 03-Jul-2020,75.15,75.65,76,73,73.25,73.35,74.27,20609,15.31,272, -, -
772GS2049, GS, 03-Jul-2020,119,119,119,119,119,119,119,154,0.18,3,154,100
A2ZINFRA, EQ, 03-Jul-2020,5.6,5.6,5.8,5.35,5.5,5.4,5.51,331405,18.27,606,227521,68.65
AAKASH, SM, 03-Jul-2020,21.8,22.85,22.85,22.85,22.85,22.85,22.85,3000,0.69,1,3000,100
AARON, SM, 03-Jul-2020,43.7,44,44,44,44,44,44,3300,1.45,1,3300,100
AARTIDRUGS, EQ, 03-Jul-2020,1259.1,1264,1292,1241.5,1285,1277.35,1267.26,51310,650.23,3251,31787,61.95
AARTIIND, EQ, 03-Jul-2020,927.45,930,935,924.05,930,926.4,928.8,159579,1482.17,6646,67816,42.5
AARVEEDEN, BE, 03-Jul-2020,11.5,11.8,11.8,11.1,11.2,11.25,11.49,6198,0.71,41, -, -
AARVI, EQ, 03-Jul-2020,32.9,34.5,34.5,34.5,34.5,34.5,34.5,380,0.13,4,380,100
AAVAS, EQ, 03-Jul-2020,1304.4,1324.9,1364.9,1310.1,1342.05,1343.9,1341.73,25764,345.68,3410,12277,47.65
ABAN, EQ, 03-Jul-2020,30.1,28.6,28.6,28.6,28.6,28.6,28.6,37480,10.72,283,36980,98.67
ABB, EQ, 03-Jul-2020,963.4,965,988,940,977.35,979.5,965.81,320566,3096.05,12155,39374,12.28
ABBOTINDIA, EQ, 03-Jul-2020,15798.7,15790,15884,15593,15694,15657.45,15763.71,9165,1444.74,3191,5063,55.24
ABCAPITAL, EQ, 03-Jul-2020,67.45,67.85,68,65.1,65.6,65.6,66.47,3029402,2013.55,12425,1099714,36.3
ABFRL, EQ, 03-Jul-2020,122.75,123,123.75,120,120.55,120.6,122,1252747,1528.36,23031,715477,57.11
ABSLBANETF, EQ, 03-Jul-2020,220.76,216.15,227.19,216.15,224,224,222.14,90,0.2,10,25,27.78
ABSLNN50ET, EQ, 03-Jul-2020,266.87,257.85,266.85,257.2,266.85,265.77,262.71,242,0.64,14,110,45.45
ABSLRIF6RG, MF, 03-Jul-2020,5.81,5.3,6.2,5.3,6.2,6.2,6.2,10019,0.62,3,10019,100
ACC, EQ, 03-Jul-2020,1328.85,1330,1337.55,1306,1315,1314.95,1316.59,1019896,13427.85,36666,255072,25.01
ACCELYA, EQ, 03-Jul-2020,928.85,934.9,942,925.4,936.75,935.3,933.88,35850,334.8,2571,12199,34.03
ACCURACY, SM, 03-Jul-2020,35.7,37,37.45,36.5,37.45,37.45,37.3,20800,7.76,13,19200,92.31
ACE, EQ, 03-Jul-2020,58.8,59.15,63.35,58,63.2,62.9,61.37,1418813,870.74,9712,555198,39.13
ADANIENT, EQ, 03-Jul-2020,158.2,160,163.85,157.4,159.5,160,161.43,4481658,7234.77,28472,667272,14.89
ADANIGAS, EQ, 03-Jul-2020,163.85,164.35,166.55,160.15,160.8,161.35,162.38,1675589,2720.86,15227,598185,35.7
ADANIGREEN, EQ, 03-Jul-2020,357.95,375.8,375.8,375.8,375.8,375.8,375.8,127962,480.88,2123,127962,100
ADANIPORTS, EQ, 03-Jul-2020,346.8,350.2,366.8,348.65,361.1,360.4,361.91,9300948,33660.73,118487,804122,8.65
ADANIPOWER, EQ, 03-Jul-2020,35.8,35.9,36.1,35.8,35.8,35.9,35.91,2643230,949.24,6603,1085665,41.07
ADANITRANS, EQ, 03-Jul-2020,265.55,268,268.45,259,261,261.5,263.48,247878,653.11,3562,149257,60.21
ADFFOODS, EQ, 03-Jul-2020,296.4,298.9,298.9,294,295,294.95,295.6,10377,30.67,449,7570,72.95
ADHUNIKIND, BE, 03-Jul-2020,21.85,20.8,20.8,20.8,20.8,20.8,20.8,29953,6.23,205, -, -
ADORWELD, EQ, 03-Jul-2020,272.65,277,297,276,281.2,283.25,286.54,685799,1965.1,12514,158588,23.12
ADROITINFO, EQ, 03-Jul-2020,7.75,7.95,7.95,7.4,7.7,7.6,7.63,19081,1.46,156,8720,45.7
ADSL, EQ, 03-Jul-2020,17.1,17.45,17.45,16.5,16.75,16.8,16.81,16476,2.77,167,13114,79.59
ADVANIHOTR, EQ, 03-Jul-2020,45.35,45.8,46,43.8,44,44.05,44.7,5552,2.48,178,2794,50.32
ADVENZYMES, EQ, 03-Jul-2020,171.7,172.8,175,170.7,170.7,171.15,172.67,52113,89.98,1604,28359,54.42
AEGISCHEM, EQ, 03-Jul-2020,171.1,172.05,176.3,171.3,173,173.15,173.41,732274,1269.86,11885,598635,81.75
AFFLE, EQ, 03-Jul-2020,1451.75,1510,1524.3,1502.05,1524.3,1524.3,1519.41,48055,730.15,3017,32197,67
AGARIND, EQ, 03-Jul-2020,76.85,77.95,77.95,71.2,75.4,74.8,74.87,36809,27.56,1177,21215,57.64
AGCNET, EQ, 03-Jul-2020,311.9,310.95,316.2,297.3,316.2,312.15,305.45,7061,21.57,239,3797,53.77
AGRITECH, BE, 03-Jul-2020,34.7,33.5,35,33,33,33.35,33.55,10743,3.6,79, -, -
AGROPHOS, EQ, 03-Jul-2020,16.4,15.75,16.9,15.6,15.6,15.6,15.87,131883,20.93,524,104636,79.34
AHLEAST, EQ, 03-Jul-2020,139.5,137.7,139.4,137,137.1,137.1,137.29,446,0.61,52,361,80.94
AHLUCONT, EQ, 03-Jul-2020,209.75,209.75,211.8,207.75,210.1,210.15,209.61,7636,16.01,395,4460,58.41
AHLWEST, EQ, 03-Jul-2020,252.5,261.9,265.1,254.6,265.1,265.1,262.11,1574,4.13,80,1382,87.8
AIAENG, EQ, 03-Jul-2020,1640.8,1648,1648,1598.5,1600,1608.6,1625.3,15467,251.39,1672,7553,48.83
AIONJSW, EQ, 03-Jul-2020,14.15,14.35,14.35,13.8,13.8,13.9,13.94,107049,14.93,239,95823,89.51
